time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z,Pelvis_Gyro_X,Pelvis_Gyro_Y,Pelvis_Gyro_Z,Lower spine_Gyro_X,Lower spine_Gyro_Y,Lower spine_Gyro_Z,Upper spine_Gyro_X,Upper spine_Gyro_Y,Upper spine_Gyro_Z
0.15,1,0,0,9.758765966796876,-0.07560439930130711,0.891241568029939,9.80186159717002,0.049380409244400146,-0.09861118085623351,9.150638745607521,0.1002571945006555,3.5098996342793947,-1.62890625,0.2727050781,0.07440185547,-1.494140625,1.098632813,-0.1960449219,0.4340820313,1.03515625,0.3693847656
0.155,1,0,0,9.758765966796876,-0.07298574123152725,0.906205328344624,9.78749638671875,0.0474725297920195,-0.11177929001160951,9.150638745607521,0.11566986775226751,3.517082238524365,-1.845703125,0.3881835938,0.31640625,-1.4609375,0.9702148438,-0.1956787109,0.4265136719,1.013671875,0.544921875
0.16,1,0,0,9.74918916015625,-0.0756792180979772,0.9074024292482521,9.80186159717002,0.0335749373445934,-0.0918774887048186,9.141061938966896,0.12262801631330601,3.5218706423350103,-2.109375,0.5395507813,0.3591308594,-1.43359375,0.9555664063,-0.08807373047,0.4643554688,1.049804688,0.3540039063
0.165,1,0,0,9.758765966796876,-0.08626607857210175,0.9050082275390625,9.78749638671875,0.044666824720757746,-0.09689034843475469,9.145850341796875,0.09876081846918701,3.52426484375,-2.134765625,0.3527832031,0.3229980469,-1.5703125,0.869140625,-0.06921386719,0.6547851563,1.103515625,0.1918945313
0.17,1,0,0,9.753977563966895,-0.110282913980141,0.887051715063374,9.80186159717002,0.049604865644217094,-0.09030629386687336,9.136273535156251,0.09950900653395449,3.533841650390625,-1.909179688,0.4497070313,0.3615722656,-1.44140625,0.7866210938,-0.1871337891,0.6162109375,1.149414063,0.2145996094
0.175,1,0,0,9.74440075732627,-0.1051952354339215,0.8924386688355005,9.792284790529395,0.057610477446896846,-0.07960720519774366,9.13148513232627,0.105344873046875,3.517082238524365,-1.893554688,0.4721679688,0.2846679688,-1.219726563,0.7133789063,-0.1185913086,0.4113769531,1.057617188,0.3540039063
0.18,1,0,0,9.753977563966895,-0.0918774887048186,0.8768763580690015,9.78749638671875,0.06902034473342575,-0.09472060318422205,9.13148513232627,0.13220482295393102,3.514688037109375,-1.775390625,0.3178710938,0.1650390625,-1.203125,0.7514648438,-0.1867675781,0.4875488281,1.012695313,0.3078613281
0.185,1,0,0,9.76355437060752,-0.094945059584039,0.8822633117430615,9.777919580078125,0.0679728815113978,-0.113574941268985,9.102754712404396,0.126443775198454,3.53863005420127,-1.904296875,0.5703125,0.08422851563,-1.188476563,0.6450195313,-0.1098022461,0.6235351563,1.1640625,0.2301025391
0.19,1,0,0,9.773131177248146,-0.08252513847381719,0.8954314208984375,9.78270798388877,0.07074117717451785,-0.107514618287601,9.11233151904502,0.11552023013931399,3.5218706423350103,-2.00390625,0.5600585938,0.03033447266,-1.1484375,0.69921875,-0.1850585938,0.4111328125,1.111328125,0.3000488281
0.195,1,0,0,9.773131177248146,-0.10833762510981201,0.9217676392091896,9.777919580078125,0.0760907215090827,-0.0971896236410484,9.09796630859375,0.11761515652452999,3.52665904516499,-1.858398438,0.6357421875,0.2978515625,-1.147460938,0.8520507813,-0.108581543,0.5102539063,1.025390625,0.07104492188
0.2,1,0,0,9.777919580078125,-0.084545246121203,0.918774887048186,9.797073193359376,0.0764274061235181,-0.09599252281587359,9.107543115234375,0.12150573426518799,3.5314474489756353,-1.720703125,0.5810546875,0.100402832,-0.787109375,0.5141601563,-0.1429443359,0.6479492188,1.005859375,0.3757324219
0.205,1,0,0,9.78749638671875,-0.09726444244752515,0.909198080407561,9.773131177248146,0.09674071083160786,-0.094945059584039,9.09796630859375,0.1415571731260925,3.533841650390625,-1.478515625,0.7319335938,0.07678222656,-0.837890625,0.5131835938,-0.2364501953,0.6240234375,1.111328125,0.2529296875
0.21,1,0,0,9.773131177248146,-0.08462006492767975,0.9050082275390625,9.78270798388877,0.0981622681154395,-0.1174655189115765,9.117119921875,0.111928927624563,3.5218706423350103,-1.4609375,0.5688476563,-0.01273345947,-0.8911132813,0.4584960938,-0.1766357422,0.6254882813,0.9741210938,0.3227539063
0.215,1,0,0,9.74918916015625,-0.08768763580690014,0.9247603912721265,9.78749638671875,0.0738461574520733,-0.09591770400939685,9.126696728515626,0.125545949520733,3.52665904516499,-1.490234375,0.607421875,0.09375,-0.9858398438,0.2580566406,-0.1721191406,0.5029296875,0.9580078125,0.2470703125
0.22,1,0,0,9.739612353515625,-0.0805050308264314,0.9217676392091896,9.78749638671875,0.0658405456592002,-0.07668927193147676,9.141061938966896,0.131007722050303,3.5098996342793947,-1.684570313,0.3017578125,-0.01791381836,-0.9765625,0.3957519531,-0.3403320313,0.5341796875,0.9653320313,0.2619628906
0.225,1,0,0,9.739612353515625,-0.09105448189241426,0.928351693688811,9.777919580078125,0.059593175695947596,-0.09838672448583649,9.165003955078125,0.128837976809577,3.514688037109375,-1.951171875,0.55078125,-0.2064208984,-0.796875,0.2459716797,-0.3498535156,0.4340820313,1.00390625,0.3005371094
0.23,1,0,0,9.753977563966895,-0.08252513847381719,0.937928500329436,9.78270798388877,0.0717138215998757,-0.1016787517746805,9.141061938966896,0.13676876980577998,3.52665904516499,-2.154296875,0.3618164063,-0.1898193359,-0.8491210938,0.3366699219,-0.2211914063,0.404296875,0.9345703125,0.2631835938
0.235,1,0,0,9.753977563966895,-0.103399584176546,0.9301473449461864,9.78749638671875,0.08245031966734044,-0.1002571945006555,9.150638745607521,0.1262193187299905,3.52665904516499,-2.421875,0.4602050781,-0.01661682129,-0.931640625,0.3198242188,-0.2313232422,0.3740234375,0.8974609375,0.4392089844
0.24,1,0,0,9.777919580078125,-0.10938508830242,0.9265560425295021,9.80186159717002,0.098985274839584,-0.11768997538004,9.13148513232627,0.140060797094624,3.52426484375,-2.171875,0.7641601563,-0.1722412109,-1.373046875,0.3823242188,-0.07763671875,0.2905273438,0.828125,0.4091796875
0.245,1,0,0,9.797073193359376,-0.104521866224664,0.909796630859375,9.797073193359376,0.11671733094487549,-0.1245733050855685,9.13148513232627,0.156820208764751,3.536235851805615,-1.836914063,0.892578125,-0.2639160156,-2.068359375,0.4560546875,0.08282470703,0.3901367188,0.7592773438,0.3635253906
0.25,1,0,0,9.777919580078125,-0.096591073228461,0.9121908325685646,9.80665,0.13444938695210049,-0.123974754731821,9.1554271484375,0.170137955435014,3.54341845703125,-1.767578125,0.5776367188,-0.1293945313,-2.486328125,0.3959960938,0.07696533203,0.3215332031,0.7739257813,0.3178710938
